Date,Slope,LongTermRate,ZeroCouponYield1Y,ZeroCouponYield2Y,ZeroCouponYield3Y,ZeroCouponYield4Y,ZeroCouponYield5Y,ZeroCouponYield6Y,ZeroCouponYield7Y,ZeroCouponYield10Y,InstantaneousForwardRate1Y,InstantaneousForwardRate2Y,InstantaneousForwardRate3Y,InstantaneousForwardRate4Y,InstantaneousForwardRate5Y,InstantaneousForwardRate6Y,InstantaneousForwardRate7Y,InstantaneousForwardRate10Y
1961-06-30,-1.2682208423076924,4.002756882769231,2.974684615384616,3.3835615384615383,3.580030769230769,3.684630769230769,3.748146153846154,3.790553846153846,3.820876923076923,4.235296249389648,3.533592307692308,3.9345846153846153,3.993169230769231,4.001369230769231,4.0025615384615385,4.002730769230769,4.002761538461538,4.2955474853515625
1961-07-31,-1.9674202589,4.10083908335,2.841955,3.28977,3.53104,3.66847,3.754025,3.81164,3.85291,4.235296249389648,3.43664,3.934995,4.062475,4.09205,4.09879,4.100355,4.10072,4.396466255187988
1961-08-31,-1.7123559703478262,4.248369135695652,3.0016521739130435,3.420465217391304,3.661852173913044,3.8023391304347824,3.8904260869565217,3.949860869565217,3.9924434782608698,4.410614490509033,3.522839130434783,4.054434782608696,4.201821739130435,4.237530434782609,4.245860869565218,4.247778260869565,4.248226086956522,4.601077556610107
1961-09-30,-1.69168870705,4.13028262175,3.043195,3.44503,3.654595,3.77096,3.842475,3.8904,3.92465,4.286585330963135,3.581385,4.01404,4.108765,4.12655,4.129645,4.130185,4.13027,4.391632556915283
1961-10-31,-1.6073820305238091,3.8155039537619047,2.962928571428572,3.350961904761905,3.559623809523809,3.674895238095238,3.7395476190476193,3.7760952380952384,3.7968,4.2339701652526855,3.489457142857143,3.9079428571428574,4.016623809523809,4.014842857142857,3.9791666666666665,3.9389571428571424,3.904257142857143,3.9462616443634033
1961-11-30,0.181057799,2.2815700991180767,2.985305,3.3263,3.546635,3.685065,3.76692,3.80918,3.82353,4.235296249389648,3.40449,3.87176,4.069405,4.11201,4.06562,3.96937,3.8471,3.952965021133423
1961-12-31,2.58794534915,0.1065492319245919,3.13179,3.44588,3.66184,3.800030000000001,3.876995,3.906105,3.89814,4.286291599273682,3.5028750000000004,3.96843,4.18393,4.220465,4.13215,3.959865,3.73423,3.952664375305176
1962-01-31,-0.2208769742272727,2.848140628550359,3.190881818181818,3.525577272727273,3.7213,3.831054545454545,3.886795454545455,3.908140909090909,3.907472727272727,4.286291599273682,3.620840909090909,4.033572727272728,4.1594181818181815,4.145704545454546,4.066804545454546,3.9605045454545458,3.846068181818182,3.948132038116455
1962-02-28,-1.417217078,4.037771622444445,3.156016666666667,3.4995166666666666,3.66415,3.754944444444445,3.811122222222222,3.8489,3.87595,4.193073749542236,3.651577777777778,3.9545,4.017705555555556,4.033388888888889,4.037322222222223,4.038105555555556,4.0381277777777775,4.2955474853515625
1962-03-31,-1.6254966930909092,4.1564686675,2.951840909090909,3.231836363636363,3.423713636363636,3.559122727272728,3.657436363636364,3.730722727272728,3.78675,4.307365417480469,3.2910818181818184,3.6904090909090894,3.902563636363636,4.016554545454546,4.078481818181818,4.112531818181818,4.131436363636364,4.373584747314453
1962-04-30,-1.5770902014,4.1093957670500005,2.89887,3.1534,3.335065,3.467975,3.5674300000000003,3.643445,3.70266,4.006237030029297,3.2011650000000005,3.579575,3.79752,3.92463,3.99941,4.043665,4.070005,4.275882720947266
1962-05-31,-1.6179982988636363,4.064451257545454,2.885459090909091,3.170981818181818,3.363063636363636,3.496590909090909,3.5923590909090914,3.6630772727272727,3.7167181818181816,4.044908046722412,3.2347954545454543,3.633745454545455,3.8383681818181823,3.9446,4.00034090909091,4.029890909090909,4.045677272727272,4.278380393981934
1962-06-30,-1.6661571497619048,4.306732486904762,2.9032857142857145,3.146542857142857,3.3401857142857145,3.489704761904762,3.605476190476191,3.6963,3.768642857142857,4.138779163360596,3.167642857142857,3.584014285714286,3.8497666666666666,4.013638095238095,4.115609523809524,4.180323809523809,4.222166666666667,4.565177917480469
1962-07-31,-1.2002662247142857,4.168271175095238,3.1127904761904763,3.379228571428572,3.5693047619047618,3.695614285714286,3.781666666666667,3.842752380952381,3.887861904761905,4.287407398223877,3.397128571428571,3.840028571428572,4.030366666666667,4.107380952380952,4.139980952380952,4.154580952380952,4.161476190476191,4.399737358093262
1962-08-31,-1.5384815609130436,4.3781823380869564,3.0121565217391306,3.2180347826086955,3.4029782608695656,3.554834782608696,3.6755956521739135,3.770930434782609,3.846547826086957,4.30467414855957,3.216339130434782,3.617165217391305,3.909134782608696,4.096734782608696,4.210817391304348,4.278504347826087,4.318369565217392,4.63469123840332
1962-09-30,-1.451794679368421,4.338947006052631,2.911605263157895,3.143226315789473,3.370552631578947,3.550594736842105,3.685468421052632,3.785905263157895,3.8617263157894737,4.304898738861084,3.100978947368421,3.631426315789474,3.9858157894736848,4.17388947368421,4.264578947368421,4.306147368421053,4.324694736842106,4.612766742706299
1962-10-31,-1.7031285589999998,4.3995723007272725,2.839118181818182,3.061977272727273,3.2754227272727268,3.4545318181818185,3.597740909090909,3.7105,3.7993136363636366,4.30853271484375,3.0457772727272725,3.5133181818181822,3.8684181818181815,4.096663636363636,4.232127272727273,4.3089545454545455,4.351240909090909,4.732476234436035
1962-11-30,-1.6495589728947369,4.369785060473684,2.9267526315789474,3.1428736842105263,3.3308894736842105,3.4843894736842107,3.607063157894737,3.7048578947368425,3.783342105263158,4.30853271484375,3.148831578947368,3.5522473684210527,3.842626315789474,4.032947368421053,4.153263157894736,4.22868947368421,4.2762631578947365,4.623170375823975
1962-12-31,-1.38349314,4.24358762635,2.95359,3.13682,3.31143,3.455095,3.5684600000000004,3.657345,3.72767,4.044908046722412,3.119655,3.509265,3.79148,3.965855,4.068785,4.129655,4.166595,4.571200370788574
1963-01-31,-1.2347500932727271,4.078323880681818,2.943609090909091,3.1834409090909093,3.3664363636363634,3.4956772727272725,3.588918181818181,3.658495454545455,3.711990909090909,4.006237030029297,3.188622727272727,3.614104545454545,3.825136363636364,3.93045,3.988031818181818,4.021840909090909,4.0425272727272725,4.278380393981934
1963-02-28,-1.6887355635,4.222600041722222,2.835505555555556,3.137494444444444,3.367505555555556,3.532894444444445,3.651855555555556,3.7391,3.8047388888888887,4.308010101318359,3.163655555555556,3.672327777777778,3.951555555555556,4.090105555555556,4.157111111111111,4.189638888888889,4.205688888888889,4.565110206604004
1963-03-31,-1.787233834904762,4.298102984142857,2.901538095238095,3.185409523809524,3.393447619047619,3.5478904761904766,3.6642904761904767,3.753485714285714,3.823028571428572,4.309699535369873,3.232819047619048,3.668595238095238,3.92794761904762,4.080976190476191,4.170823809523809,4.22347619047619,4.25427619047619,4.610072135925293
1963-04-30,-1.678048236095238,4.323755049333333,2.985919047619048,3.2533809523809523,3.4534857142857143,3.602357142857143,3.714309523809524,3.799909523809524,3.866561904761905,4.2357988357543945,3.2911666666666664,3.715885714285714,3.968933333333333,4.115742857142857,4.200833333333334,4.250538095238095,4.279833333333333,4.614583015441895
1963-05-31,-1.357173708090909,4.154795443136364,2.948240909090909,3.21305,3.424690909090909,3.574890909090909,3.680281818181818,3.755777272727273,3.8115318181818174,4.308010101318359,3.2123772727272724,3.702995454545455,3.9604227272727273,4.074509090909091,4.122118181818181,4.141554545454546,4.149418181818182,4.373584747314453
1963-06-30,-1.2485234423,4.2311028451,3.03661,3.2933250000000003,3.50904,3.66182,3.767675,3.842575,3.8974,4.287407398223877,3.27174,3.788595,4.05624,4.16685,4.20844,4.22331,4.228465,4.632867813110352
1963-07-31,-0.9395825679090908,4.143920727,3.254368181818182,3.4986818181818182,3.6708318181818185,3.77965,3.850340909090909,3.898745454545455,3.9336545454545457,4.257091999053955,3.505072727272727,3.9237136363636367,4.077872727272728,4.124931818181818,4.138513636363636,4.142363636363637,4.143472727272727,4.396466255187988
1963-08-31,-0.9213393385454544,4.1119167355,3.334527272727273,3.5502772727272727,3.6919818181818185,3.782213636363637,3.842545454545456,3.8851090909090895,3.916490909090909,4.256855010986328,3.578954545454545,3.904409090909091,4.026213636363637,4.072663636363637,4.092627272727273,4.102086363636364,4.106809090909091,4.396466255187988
1963-09-30,-1.12863468105,4.27285558005,3.40366,3.592095,3.727185,3.82489,3.896865,3.951055,3.99276,4.306232452392578,3.624905,3.909615,4.069475,4.157909999999999,4.20695,4.234450000000001,4.250105,4.6302642822265625
1963-10-31,-0.9673393029565218,4.279984230434783,3.439260869565217,3.603052173913043,3.737186956521739,3.83718695652174,3.910734782608696,3.9655,4.007191304347827,4.244579315185547,3.606134782608696,3.907234782608696,4.0854478260869564,4.178573913043478,4.2258826086956525,4.250226086956522,4.2631,4.619471073150635
1963-11-30,-0.6392284258235295,4.2053568892941176,3.552282352941176,3.707123529411765,3.823617647058823,3.901876470588236,3.955647058823529,3.994194117647059,4.022905882352941,4.236722469329834,3.702652941176471,3.9868117647058825,4.108158823529412,4.158170588235294,4.180711764705883,4.191852941176471,4.19774705882353,4.583132266998291
1963-12-31,0.1569536946190476,4.147722294238095,3.6003047619047623,3.770514285714286,3.8855,3.949995238095238,3.989433333333333,4.015819047619048,4.034657142857143,4.235729694366455,3.725738095238095,4.074109523809524,4.137695238095238,4.146457142857143,4.147571428571429,4.147695238095238,4.147714285714286,4.366317272186279
