Date,Slope,LongTermRate,ZeroCouponYield1Y,ZeroCouponYield2Y,ZeroCouponYield3Y,ZeroCouponYield4Y,ZeroCouponYield5Y,ZeroCouponYield6Y,ZeroCouponYield7Y,ZeroCouponYield8Y,ZeroCouponYield9Y,ZeroCouponYield10Y,InstantaneousForwardRate1Y,InstantaneousForwardRate2Y,InstantaneousForwardRate3Y,InstantaneousForwardRate4Y,InstantaneousForwardRate5Y,InstantaneousForwardRate6Y,InstantaneousForwardRate7Y,InstantaneousForwardRate8Y,InstantaneousForwardRate9Y,InstantaneousForwardRate10Y
1961-06-30,-1.2682208423076924,4.002756882769231,2.9746846153846156,3.3835615384615383,3.580030769230769,3.684630769230769,3.7481461538461542,3.790553846153846,3.820876923076923,,,,3.5335923076923077,3.9345846153846153,3.993169230769231,4.001369230769231,4.0025615384615385,4.002730769230769,4.002761538461538,,,
1961-07-31,-1.9674202589,4.10083908335,2.841955,3.28977,3.53104,3.66847,3.754025,3.8116399999999997,3.85291,,,,3.4366399999999997,3.934995,4.062475,4.0920499999999995,4.09879,4.100355,4.10072,,,
1961-08-31,-1.7123559703478262,4.248369135695652,3.0016521739130435,3.420465217391304,3.6618521739130436,3.8023391304347824,3.8904260869565217,3.9498608695652173,3.9924434782608698,,,,3.522839130434783,4.054434782608696,4.201821739130435,4.237530434782609,4.245860869565218,4.247778260869565,4.248226086956522,,,
1961-09-30,-1.69168870705,4.13028262175,3.043195,3.44503,3.6545949999999996,3.77096,3.8424750000000003,3.8903999999999996,3.9246499999999997,,,,3.581385,4.01404,4.108765,4.12655,4.129645,4.130185,4.13027,,,
1961-10-31,-1.6073820305238093,3.8155039537619047,2.9629285714285714,3.350961904761905,3.5596238095238095,3.674895238095238,3.7395476190476193,3.7760952380952384,3.7967999999999997,,,,3.489457142857143,3.9079428571428574,4.016623809523809,4.014842857142857,3.9791666666666665,3.9389571428571424,3.904257142857143,,,
1961-11-30,0.18105779900000002,2.2815700991180767,2.985305,3.3263,3.5466349999999998,3.6850650000000003,3.7669200000000003,3.80918,3.8235300000000003,,,,3.40449,3.8717599999999996,4.069405,4.11201,4.06562,3.96937,3.8470999999999997,,,
1961-12-31,2.58794534915,0.10654923192459195,3.13179,3.44588,3.66184,3.8000300000000005,3.876995,3.906105,3.89814,,,,3.5028750000000004,3.96843,4.18393,4.220465,4.13215,3.9598649999999997,3.73423,,,
1962-01-31,-0.2208769742272727,2.848140628550359,3.190881818181818,3.525577272727273,3.7213,3.831054545454545,3.886795454545455,3.908140909090909,3.907472727272727,,,,3.620840909090909,4.033572727272728,4.1594181818181815,4.145704545454546,4.066804545454546,3.9605045454545458,3.846068181818182,,,
1962-02-28,-1.417217078,4.037771622444445,3.156016666666667,3.4995166666666666,3.6641500000000002,3.7549444444444444,3.811122222222222,3.8488999999999995,3.87595,,,,3.6515777777777774,3.9545,4.017705555555556,4.033388888888889,4.0373222222222225,4.038105555555556,4.0381277777777775,,,
1962-03-31,-1.6254966930909092,4.1564686674999995,2.951840909090909,3.231836363636363,3.4237136363636362,3.5591227272727277,3.657436363636364,3.7307227272727275,3.7867499999999996,,,,3.2910818181818184,3.6904090909090908,3.9025636363636362,4.016554545454546,4.078481818181818,4.112531818181818,4.131436363636364,,,
1962-04-30,-1.5770902014000001,4.1093957670500005,2.89887,3.1534,3.335065,3.467975,3.5674300000000003,3.643445,3.7026600000000003,,,,3.2011650000000005,3.5795749999999997,3.79752,3.9246299999999996,3.99941,4.043665,4.070005,,,
1962-05-31,-1.6179982988636363,4.064451257545454,2.885459090909091,3.170981818181818,3.363063636363636,3.496590909090909,3.5923590909090914,3.6630772727272727,3.7167181818181816,,,,3.2347954545454543,3.633745454545455,3.8383681818181823,3.9446,4.00034090909091,4.029890909090909,4.045677272727272,,,
1962-06-30,-1.6661571497619048,4.306732486904762,2.9032857142857145,3.146542857142857,3.3401857142857145,3.489704761904762,3.6054761904761907,3.6963,3.768642857142857,,,,3.167642857142857,3.584014285714286,3.8497666666666666,4.013638095238095,4.115609523809524,4.180323809523809,4.222166666666667,,,
1962-07-31,-1.2002662247142857,4.168271175095238,3.1127904761904763,3.379228571428572,3.5693047619047618,3.695614285714286,3.781666666666667,3.842752380952381,3.8878619047619045,,,,3.397128571428571,3.840028571428572,4.030366666666667,4.107380952380952,4.139980952380952,4.154580952380952,4.161476190476191,,,
1962-08-31,-1.5384815609130436,4.3781823380869564,3.0121565217391306,3.2180347826086955,3.4029782608695656,3.5548347826086957,3.6755956521739135,3.7709304347826085,3.846547826086957,,,,3.216339130434782,3.6171652173913045,3.9091347826086955,4.096734782608696,4.210817391304348,4.278504347826087,4.318369565217392,,,
